ID	Gene Name	Species	REACTOME_PATHWAY
FIP1L1	factor interacting with PAPOLA and CPSF1(FIP1L1)	Homo sapiens	R-HSA-159231~Transport of Mature mRNA Derived from an Intronless Transcript,R-HSA-159234~Transport of Mature mRNAs Derived from Intronless Transcripts,R-HSA-1643685~Disease,R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-72187~mRNA 3'-end processing,R-HSA-72202~Transport of Mature Transcript to Cytoplasm,R-HSA-72203~Processing of Capped Intron-Containing Pre-mRNA,R-HSA-73856~RNA Polymerase II Transcription Termination,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-75067~Processing of Capped Intronless Pre-mRNA,R-HSA-77595~Processing of Intronless Pre-mRNAs,R-HSA-8953854~Metabolism of RNA,R-HSA-9671555~Signaling by PDGFR in disease,R-HSA-9673766~Signaling by cytosolic PDGFRA and PDGFRB fusion proteins,
FDX1	ferredoxin 1(FDX1)	Homo sapiens	R-HSA-1362409~Mitochondrial iron-sulfur cluster biogenesis,R-HSA-1430728~Metabolism,R-HSA-1643685~Disease,R-HSA-196071~Metabolism of steroid hormones,R-HSA-196108~Pregnenolone biosynthesis,R-HSA-211859~Biological oxidations,R-HSA-211897~Cytochrome P450 - arranged by substrate type,R-HSA-211945~Phase I - Functionalization of compounds,R-HSA-211976~Endogenous sterols,R-HSA-2395516~Electron transport from NADPH to Ferredoxin,R-HSA-556833~Metabolism of lipids,R-HSA-5579026~Defective CYP11A1 causes AICSR,R-HSA-5579029~Metabolic disorders of biological oxidation enzymes,R-HSA-5668914~Diseases of metabolism,R-HSA-8957322~Metabolism of steroids,
FLNA	filamin A(FLNA)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-114608~Platelet degranulation ,R-HSA-1169410~Antiviral mechanism by IFN-stimulated genes,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1500931~Cell-Cell communication,R-HSA-162582~Signal Transduction,R-HSA-168256~Immune System,R-HSA-194315~Signaling by Rho GTPases,R-HSA-195258~RHO GTPase Effectors,R-HSA-430116~GP1b-IX-V activation signalling,R-HSA-446353~Cell-extracellular matrix interactions,R-HSA-446728~Cell junction organization,R-HSA-5627123~RHO GTPases activate PAKs,R-HSA-76002~Platelet activation, signaling and aggregation,R-HSA-76005~Response to elevated platelet cytosolic Ca2+,R-HSA-8983711~OAS antiviral response,R-HSA-913531~Interferon Signaling,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,
GLA	galactosidase alpha(GLA)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-1660662~Glycosphingolipid metabolism,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-428157~Sphingolipid metabolism,R-HSA-556833~Metabolism of lipids,R-HSA-6798695~Neutrophil degranulation,R-HSA-9840310~Glycosphingolipid catabolism,
GLB1	galactosidase beta 1(GLB1)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-1630316~Glycosaminoglycan metabolism,R-HSA-1638074~Keratan sulfate/keratin metabolism,R-HSA-1638091~Heparan sulfate/heparin (HS-GAG) metabolism,R-HSA-1643685~Disease,R-HSA-1660662~Glycosphingolipid metabolism,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-2022857~Keratan sulfate degradation,R-HSA-2024096~HS-GAG degradation,R-HSA-2206281~Mucopolysaccharidoses,R-HSA-2206308~MPS IV - Morquio syndrome B,R-HSA-3781860~Diseases associated with N-glycosylation of proteins,R-HSA-3781865~Diseases of glycosylation,R-HSA-392499~Metabolism of proteins,R-HSA-4085001~Sialic acid metabolism,R-HSA-428157~Sphingolipid metabolism,R-HSA-4341670~Defective NEU1 causes sialidosis,R-HSA-446193~Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein,R-HSA-446203~Asparagine N-linked glycosylation,R-HSA-446219~Synthesis of substrates in N-glycan biosythesis,R-HSA-556833~Metabolism of lipids,R-HSA-5663084~Diseases of carbohydrate metabolism,R-HSA-5668914~Diseases of metabolism,R-HSA-597592~Post-translational protein modification,R-HSA-6798695~Neutrophil degranulation,R-HSA-71387~Metabolism of carbohydrates,R-HSA-9840310~Glycosphingolipid catabolism,
LGALS1	galectin 1(LGALS1)	Homo sapiens	R-HSA-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),R-HSA-392499~Metabolism of proteins,R-HSA-597592~Post-translational protein modification,R-HSA-8957275~Post-translational protein phosphorylation,
LGALS3	galectin 3(LGALS3)	Homo sapiens	R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-212436~Generic Transcription Pathway,R-HSA-6798695~Neutrophil degranulation,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-879415~Advanced glycosylation endproduct receptor signaling,R-HSA-8878166~Transcriptional regulation by RUNX2,R-HSA-8878171~Transcriptional regulation by RUNX1,R-HSA-8939246~RUNX1 regulates transcription of genes involved in differentiation of myeloid cells,R-HSA-8941333~RUNX2 regulates genes involved in differentiation of myeloid cells,
GTF2E2	general transcription factor IIE subunit 2(GTF2E2)	Homo sapiens	R-HSA-162587~HIV Life Cycle,R-HSA-162599~Late Phase of HIV Life Cycle,R-HSA-162906~HIV Infection,R-HSA-1643685~Disease,R-HSA-167161~HIV Transcription Initiation,R-HSA-167162~RNA Polymerase II HIV Promoter Escape,R-HSA-167172~Transcription of the HIV genome,R-HSA-5663205~Infectious disease,R-HSA-674695~RNA Polymerase II Pre-transcription Events,R-HSA-6807505~RNA polymerase II transcribes snRNA genes,R-HSA-73776~RNA Polymerase II Promoter Escape,R-HSA-73779~RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-75953~RNA Polymerase II Transcription Initiation,R-HSA-76042~RNA Polymerase II Transcription Initiation And Promoter Clearance,R-HSA-9824446~Viral Infection Pathways,
GPI	glucose-6-phosphate isomerase(GPI)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-212436~Generic Transcription Pathway,R-HSA-3700989~Transcriptional Regulation by TP53,R-HSA-5628897~TP53 Regulates Metabolic Genes,R-HSA-6798695~Neutrophil degranulation,R-HSA-70171~Glycolysis,R-HSA-70263~Gluconeogenesis,R-HSA-70326~Glucose metabolism,R-HSA-71387~Metabolism of carbohydrates,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),
GCLM	glutamate-cysteine ligase modifier subunit(GCLM)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-156580~Phase II - Conjugation of compounds,R-HSA-156590~Glutathione conjugation,R-HSA-1643685~Disease,R-HSA-174403~Glutathione synthesis and recycling,R-HSA-211859~Biological oxidations,R-HSA-2262752~Cellular responses to stress,R-HSA-5578999~Defective GCLC causes HAGGSD,R-HSA-5579029~Metabolic disorders of biological oxidation enzymes,R-HSA-5668914~Diseases of metabolism,R-HSA-8953897~Cellular responses to stimuli,R-HSA-9711123~Cellular response to chemical stress,R-HSA-9755511~KEAP1-NFE2L2 pathway,R-HSA-9759194~Nuclear events mediated by NFE2L2,R-HSA-9818027~NFE2L2 regulating anti-oxidant/detoxification enzymes,
GLRX	glutaredoxin(GLRX)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-15869~Metabolism of nucleotides,R-HSA-499943~Interconversion of nucleotide di- and triphosphates,
GYG1	glycogenin 1(GYG1)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-3229121~Glycogen storage diseases,R-HSA-3322077~Glycogen synthesis,R-HSA-3785653~Myoclonic epilepsy of Lafora,R-HSA-3814836~Glycogen storage disease type XV (GYG1),R-HSA-3828062~Glycogen storage disease type 0 (muscle GYS1),R-HSA-5357609~Glycogen storage disease type II (GAA),R-HSA-5663084~Diseases of carbohydrate metabolism,R-HSA-5668914~Diseases of metabolism,R-HSA-6798695~Neutrophil degranulation,R-HSA-70221~Glycogen breakdown (glycogenolysis),R-HSA-71387~Metabolism of carbohydrates,R-HSA-8982491~Glycogen metabolism,
GPAA1	glycosylphosphatidylinositol anchor attachment 1(GPAA1)	Homo sapiens	R-HSA-162791~Attachment of GPI anchor to uPAR,R-HSA-163125~Post-translational modification: synthesis of GPI-anchored proteins,R-HSA-392499~Metabolism of proteins,R-HSA-597592~Post-translational protein modification,
GLO1	glyoxalase I(GLO1)	Homo sapiens	R-HSA-1428517~The citric acid (TCA) cycle and respiratory electron transport,R-HSA-1430728~Metabolism,R-HSA-70268~Pyruvate metabolism,R-HSA-71406~Pyruvate metabolism and Citric Acid (TCA) cycle,
GOLGA4	golgin A4(GOLGA4)	Homo sapiens	R-HSA-1643685~Disease,R-HSA-199991~Membrane Trafficking,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-6811440~Retrograde transport at the Trans-Golgi-Network,R-HSA-6811442~Intra-Golgi and retrograde Golgi-to-ER traffic,R-HSA-9671555~Signaling by PDGFR in disease,R-HSA-9673768~Signaling by membrane-tethered fusions of PDGFRA or PDGFRB,
GOLGA7	golgin A7(GOLGA7)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-5663205~Infectious disease,R-HSA-5673001~RAF/MAP kinase cascade,R-HSA-5683057~MAPK family signaling cascades,R-HSA-5684996~MAPK1/MAPK3 signaling,R-HSA-6798695~Neutrophil degranulation,R-HSA-9648002~RAS processing,R-HSA-9679506~SARS-CoV Infections,R-HSA-9694516~SARS-CoV-2 Infection,R-HSA-9694548~Maturation of spike protein,R-HSA-9694635~Translation of Structural Proteins,R-HSA-9772573~Late SARS-CoV-2 Infection Events,R-HSA-9824446~Viral Infection Pathways,
GBP2	guanylate binding protein 2(GBP2)	Homo sapiens	R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-168256~Immune System,R-HSA-877300~Interferon gamma signaling,R-HSA-909733~Interferon alpha/beta signaling,R-HSA-913531~Interferon Signaling,
GBP4	guanylate binding protein 4(GBP4)	Homo sapiens	R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-168256~Immune System,R-HSA-877300~Interferon gamma signaling,R-HSA-913531~Interferon Signaling,
GUK1	guanylate kinase 1(GUK1)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-15869~Metabolism of nucleotides,R-HSA-499943~Interconversion of nucleotide di- and triphosphates,R-HSA-9748784~Drug ADME,R-HSA-9748787~Azathioprine ADME,
HSP90AB1	heat shock protein 90 alpha family class B member 1(HSP90AB1)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-1430728~Metabolism,R-HSA-162582~Signal Transduction,R-HSA-1640170~Cell Cycle,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-168643~Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways,R-HSA-168928~DDX58/IFIH1-mediated induction of interferon-alpha/beta,R-HSA-194315~Signaling by Rho GTPases,R-HSA-2029480~Fcgamma receptor (FCGR) dependent phagocytosis,R-HSA-2029482~Regulation of actin dynamics for phagocytic cup formation,R-HSA-211859~Biological oxidations,R-HSA-211945~Phase I - Functionalization of compounds,R-HSA-2262752~Cellular responses to stress,R-HSA-3371497~HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,R-HSA-3371511~HSF1 activation,R-HSA-3371556~Cellular response to heat stress,R-HSA-3371568~Attenuation phase,R-HSA-3371571~HSF1-dependent transactivation,R-HSA-373755~Semaphorin interactions,R-HSA-399954~Sema3A PAK dependent Axon repulsion,R-HSA-422475~Axon guidance,R-HSA-453274~Mitotic G2-G2/M phases,R-HSA-5336415~Uptake and function of diphtheria toxin,R-HSA-5339562~Uptake and actions of bacterial toxins,R-HSA-5663205~Infectious disease,R-HSA-622312~Inflammasomes,R-HSA-6798695~Neutrophil degranulation,R-HSA-69275~G2/M Transition,R-HSA-69278~Cell Cycle, Mitotic,R-HSA-844456~The NLRP3 inflammasome,R-HSA-8852276~The role of GTSE1 in G2/M progression after G2 checkpoint,R-HSA-8937144~Aryl hydrocarbon receptor signalling,R-HSA-8939211~ESR-mediated signaling,R-HSA-8953897~Cellular responses to stimuli,R-HSA-9006931~Signaling by Nuclear Receptors,R-HSA-9012999~RHO GTPase cycle,R-HSA-9013418~RHOBTB2 GTPase cycle,R-HSA-9018519~Estrogen-dependent gene expression,R-HSA-9612973~Autophagy,R-HSA-9613829~Chaperone Mediated Autophagy,R-HSA-9658195~Leishmania infection,R-HSA-9660826~Purinergic signaling in leishmaniasis infection,R-HSA-9664424~Cell recruitment (pro-inflammatory response),R-HSA-9675108~Nervous system development,R-HSA-9679191~Potential therapeutics for SARS,R-HSA-9679506~SARS-CoV Infections,R-HSA-9694516~SARS-CoV-2 Infection,R-HSA-9705671~SARS-CoV-2 activates/modulates innate and adaptive immune responses,R-HSA-9705683~SARS-CoV-2-host interactions,R-HSA-9706574~RHOBTB GTPase Cycle,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,R-HSA-9820952~Respiratory Syncytial Virus Infection Pathway,R-HSA-9820962~Assembly and release of respiratory syncytial virus (RSV) virions,R-HSA-9820965~Respiratory syncytial virus (RSV) genome replication, transcription and translation,R-HSA-9824439~Bacterial Infection Pathways,R-HSA-9824443~Parasitic Infection Pathways,R-HSA-9824446~Viral Infection Pathways,R-HSA-9834752~Respiratory syncytial virus genome replication,
HSPA8	heat shock protein family A (Hsp70) member 8(HSPA8)	Homo sapiens	R-HSA-112310~Neurotransmitter release cycle,R-HSA-112315~Transmission across Chemical Synapses,R-HSA-112316~Neuronal System,R-HSA-1169410~Antiviral mechanism by IFN-stimulated genes,R-HSA-1266738~Developmental Biology,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1632852~Macroautophagy,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-199991~Membrane Trafficking,R-HSA-199992~trans-Golgi Network Vesicle Budding,R-HSA-2262752~Cellular responses to stress,R-HSA-3371453~Regulation of HSF1-mediated heat shock response,R-HSA-3371497~HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,R-HSA-3371556~Cellular response to heat stress,R-HSA-3371568~Attenuation phase,R-HSA-3371571~HSF1-dependent transactivation,R-HSA-373760~L1CAM interactions,R-HSA-392499~Metabolism of proteins,R-HSA-422475~Axon guidance,R-HSA-432720~Lysosome Vesicle Biogenesis,R-HSA-432722~Golgi Associated Vesicle Biogenesis,R-HSA-447041~CHL1 interactions,R-HSA-449147~Signaling by Interleukins,R-HSA-450408~AUF1 (hnRNP D0) binds and destabilizes mRNA,R-HSA-450531~Regulation of mRNA stability by proteins that bind AU-rich elements,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663205~Infectious disease,R-HSA-597592~Post-translational protein modification,R-HSA-6785807~Interleukin-4 and Interleukin-13 signaling,R-HSA-6798695~Neutrophil degranulation,R-HSA-72163~mRNA Splicing - Major Pathway,R-HSA-72172~mRNA Splicing,R-HSA-72203~Processing of Capped Intron-Containing Pre-mRNA,R-HSA-8856828~Clathrin-mediated endocytosis,R-HSA-8876725~Protein methylation,R-HSA-888590~GABA synthesis, release, reuptake and degradation,R-HSA-8953854~Metabolism of RNA,R-HSA-8953897~Cellular responses to stimuli,R-HSA-913531~Interferon Signaling,R-HSA-9612973~Autophagy,R-HSA-9613354~Lipophagy,R-HSA-9613829~Chaperone Mediated Autophagy,R-HSA-9615710~Late endosomal microautophagy,R-HSA-9663891~Selective autophagy,R-HSA-9675108~Nervous system development,R-HSA-9820952~Respiratory Syncytial Virus Infection Pathway,R-HSA-9820965~Respiratory syncytial virus (RSV) genome replication, transcription and translation,R-HSA-9824446~Viral Infection Pathways,R-HSA-9828642~Respiratory syncytial virus genome transcription,R-HSA-9833482~PKR-mediated signaling,
HSPB1	heat shock protein family B (small) member 1(HSPB1)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-194138~Signaling by VEGF,R-HSA-4420097~VEGFA-VEGFR2 Pathway,R-HSA-450408~AUF1 (hnRNP D0) binds and destabilizes mRNA,R-HSA-450531~Regulation of mRNA stability by proteins that bind AU-rich elements,R-HSA-5683057~MAPK family signaling cascades,R-HSA-5687128~MAPK6/MAPK4 signaling,R-HSA-8939211~ESR-mediated signaling,R-HSA-8953854~Metabolism of RNA,R-HSA-9006931~Signaling by Nuclear Receptors,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-9009391~Extra-nuclear estrogen signaling,
HCST	hematopoietic cell signal transducer(HCST)	Homo sapiens	R-HSA-1280218~Adaptive Immune System,R-HSA-168256~Immune System,R-HSA-198933~Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,
HGS	hepatocyte growth factor-regulated tyrosine kinase substrate(HGS)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-177929~Signaling by EGFR,R-HSA-182971~EGFR downregulation,R-HSA-194315~Signaling by Rho GTPases,R-HSA-199991~Membrane Trafficking,R-HSA-199992~trans-Golgi Network Vesicle Budding,R-HSA-392499~Metabolism of proteins,R-HSA-432720~Lysosome Vesicle Biogenesis,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663205~Infectious disease,R-HSA-5688426~Deubiquitination,R-HSA-5689880~Ub-specific processing proteases,R-HSA-597592~Post-translational protein modification,R-HSA-6806834~Signaling by MET,R-HSA-6807004~Negative regulation of MET activity,R-HSA-8856825~Cargo recognition for clathrin-mediated endocytosis,R-HSA-8856828~Clathrin-mediated endocytosis,R-HSA-8875360~InlB-mediated entry of Listeria monocytogenes into host cell,R-HSA-8876384~Listeria monocytogenes entry into host cells,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-9012999~RHO GTPase cycle,R-HSA-9013420~RHOU GTPase cycle,R-HSA-917729~Endosomal Sorting Complex Required For Transport (ESCRT),R-HSA-9635486~Infection with Mycobacterium tuberculosis,R-HSA-9635644~Inhibition of membrane repair,R-HSA-9636383~Prevention of phagosomal-lysosomal fusion,R-HSA-9637687~Suppression of phagosomal maturation,R-HSA-9637690~Response of Mtb to phagocytosis,R-HSA-9706019~RHOBTB3 ATPase cycle,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,R-HSA-9824439~Bacterial Infection Pathways,
HNRNPH1	heterogeneous nuclear ribonucleoprotein H1(HNRNPH1)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-190236~Signaling by FGFR,R-HSA-5654738~Signaling by FGFR2,R-HSA-6803529~FGFR2 alternative splicing,R-HSA-72163~mRNA Splicing - Major Pathway,R-HSA-72172~mRNA Splicing,R-HSA-72203~Processing of Capped Intron-Containing Pre-mRNA,R-HSA-8953854~Metabolism of RNA,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,
HNRNPL	heterogeneous nuclear ribonucleoprotein L(HNRNPL)	Homo sapiens	R-HSA-72163~mRNA Splicing - Major Pathway,R-HSA-72172~mRNA Splicing,R-HSA-72203~Processing of Capped Intron-Containing Pre-mRNA,R-HSA-8953854~Metabolism of RNA,
HNRNPU	heterogeneous nuclear ribonucleoprotein U(HNRNPU)	Homo sapiens	R-HSA-72163~mRNA Splicing - Major Pathway,R-HSA-72172~mRNA Splicing,R-HSA-72203~Processing of Capped Intron-Containing Pre-mRNA,R-HSA-8953854~Metabolism of RNA,
HOXB2	homeobox B2(HOXB2)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-5617472~Activation of anterior HOX genes in hindbrain development during early embryogenesis,R-HSA-5619507~Activation of HOX genes during differentiation,
HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha(HADHA)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-1482798~Acyl chain remodeling of CL,R-HSA-1483206~Glycerophospholipid biosynthesis,R-HSA-1483257~Phospholipid metabolism,R-HSA-556833~Metabolism of lipids,R-HSA-77285~Beta oxidation of myristoyl-CoA to lauroyl-CoA,R-HSA-77286~mitochondrial fatty acid beta-oxidation of saturated fatty acids,R-HSA-77288~mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,R-HSA-77289~Mitochondrial Fatty Acid Beta-Oxidation,R-HSA-77305~Beta oxidation of palmitoyl-CoA to myristoyl-CoA,R-HSA-77310~Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,R-HSA-77346~Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,R-HSA-77348~Beta oxidation of octanoyl-CoA to hexanoyl-CoA,R-HSA-77350~Beta oxidation of hexanoyl-CoA to butanoyl-CoA,R-HSA-8978868~Fatty acid metabolism,
HPRT1	hypoxanthine phosphoribosyltransferase 1(HPRT1)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-15869~Metabolism of nucleotides,R-HSA-1643685~Disease,R-HSA-5668914~Diseases of metabolism,R-HSA-74217~Purine salvage,R-HSA-8956321~Nucleotide salvage,R-HSA-9734207~Nucleotide salvage defects,R-HSA-9734281~Defective HPRT1 disrupts guanine and hypoxanthine salvage,R-HSA-9735804~Diseases of nucleotide metabolism,R-HSA-9748784~Drug ADME,R-HSA-9748787~Azathioprine ADME,
ICOS	inducible T cell costimulator(ICOS)	Homo sapiens	R-HSA-1257604~PIP3 activates AKT signaling,R-HSA-1280218~Adaptive Immune System,R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-168256~Immune System,R-HSA-199418~Negative regulation of the PI3K/AKT network,R-HSA-2219528~PI3K/AKT Signaling in Cancer,R-HSA-2219530~Constitutive Signaling by Aberrant PI3K in Cancer,R-HSA-388841~Costimulation by the CD28 family,R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-6811558~PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling,R-HSA-9006925~Intracellular signaling by second messengers,R-HSA-9700206~Signaling by ALK in cancer,R-HSA-9725370~Signaling by ALK fusions and activated point mutants,R-HSA-9725371~Nuclear events stimulated by ALK signaling in cancer,
IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma(IKBKG)	Homo sapiens	R-HSA-1168372~Downstream signaling events of B Cell Receptor (BCR),R-HSA-1169091~Activation of NF-kappaB in B cells,R-HSA-1169410~Antiviral mechanism by IFN-stimulated genes,R-HSA-1236974~ER-Phagosome pathway,R-HSA-1236975~Antigen processing-Cross presentation,R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-1280218~Adaptive Immune System,R-HSA-1606322~ZBP1(DAI) mediated induction of type I IFNs,R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-166016~Toll Like Receptor 4 (TLR4) Cascade,R-HSA-166058~MyD88:MAL(TIRAP) cascade initiated on plasma membrane,R-HSA-166166~MyD88-independent TLR4 cascade ,R-HSA-168138~Toll Like Receptor 9 (TLR9) Cascade,R-HSA-168142~Toll Like Receptor 10 (TLR10) Cascade,R-HSA-168164~Toll Like Receptor 3 (TLR3) Cascade,R-HSA-168176~Toll Like Receptor 5 (TLR5) Cascade,R-HSA-168179~Toll Like Receptor TLR1:TLR2 Cascade,R-HSA-168181~Toll Like Receptor 7/8 (TLR7/8) Cascade,R-HSA-168188~Toll Like Receptor TLR6:TLR2 Cascade,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-168638~NOD1/2 Signaling Pathway,R-HSA-168643~Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways,R-HSA-168898~Toll-like Receptor Cascades,R-HSA-168927~TICAM1, RIP1-mediated IKK complex recruitment,R-HSA-168928~DDX58/IFIH1-mediated induction of interferon-alpha/beta,R-HSA-1810476~RIP-mediated NFkB activation via ZBP1,R-HSA-181438~Toll Like Receptor 2 (TLR2) Cascade,R-HSA-1834949~Cytosolic sensors of pathogen-associated DNA ,R-HSA-202403~TCR signaling,R-HSA-202424~Downstream TCR signaling,R-HSA-2454202~Fc epsilon receptor (FCERI) signaling,R-HSA-2871837~FCERI mediated NF-kB activation,R-HSA-2990846~SUMOylation,R-HSA-3108232~SUMO E3 ligases SUMOylate target proteins,R-HSA-392499~Metabolism of proteins,R-HSA-445989~TAK1-dependent IKK and NF-kappa-B activation  ,R-HSA-446652~Interleukin-1 family signaling,R-HSA-448424~Interleukin-17 signaling,R-HSA-449147~Signaling by Interleukins,R-HSA-450294~MAP kinase activation,R-HSA-450302~activated TAK1 mediates p38 MAPK activation,R-HSA-450321~JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,R-HSA-4755510~SUMOylation of immune response proteins,R-HSA-5260271~Diseases of Immune System,R-HSA-5357905~Regulation of TNFR1 signaling,R-HSA-5357956~TNFR1-induced NF-kappa-B signaling pathway,R-HSA-5602358~Diseases associated with the TLR signaling cascade,R-HSA-5602636~IKBKB deficiency causes SCID,R-HSA-5603027~IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR),R-HSA-5603029~IkBA variant leads to EDA-ID,R-HSA-5607764~CLEC7A (Dectin-1) signaling,R-HSA-5621481~C-type lectin receptors (CLRs),R-HSA-5663205~Infectious disease,R-HSA-5684264~MAP3K8 (TPL2)-dependent MAPK1/3 activation,R-HSA-5688426~Deubiquitination,R-HSA-5689880~Ub-specific processing proteases,R-HSA-5689896~Ovarian tumor domain proteases,R-HSA-597592~Post-translational protein modification,R-HSA-73887~Death Receptor Signaling,R-HSA-75893~TNF signaling,R-HSA-9020702~Interleukin-1 signaling,R-HSA-913531~Interferon Signaling,R-HSA-933542~TRAF6 mediated NF-kB activation,R-HSA-933543~NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,R-HSA-937039~IRAK1 recruits IKK complex,R-HSA-937041~IKK complex recruitment mediated by RIP1,R-HSA-937061~TRIF(TICAM1)-mediated TLR4 signaling ,R-HSA-9679506~SARS-CoV Infections,R-HSA-9694516~SARS-CoV-2 Infection,R-HSA-9705671~SARS-CoV-2 activates/modulates innate and adaptive immune responses,R-HSA-9705683~SARS-CoV-2-host interactions,R-HSA-975138~TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,R-HSA-975144~IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation,R-HSA-975155~MyD88 dependent cascade initiated on endosome,R-HSA-9758274~Regulation of NF-kappa B signaling,R-HSA-975871~MyD88 cascade initiated on plasma membrane,R-HSA-9824446~Viral Infection Pathways,R-HSA-983169~Class I MHC mediated antigen processing & presentation,R-HSA-9833482~PKR-mediated signaling,R-HSA-983705~Signaling by the B Cell Receptor (BCR),
PPA1	inorganic pyrophosphatase 1(PPA1)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-379716~Cytosolic tRNA aminoacylation,R-HSA-379724~tRNA Aminoacylation,R-HSA-392499~Metabolism of proteins,R-HSA-71737~Pyrophosphate hydrolysis,R-HSA-72766~Translation,
